
Processing Draw_OneCookie.C(6,1)...
infile = ../dc764/transmittance_cookie6_1_10.txt
cookie 6, point 1
infile = ../dc764/transmittance_cookie6_1_20.txt
cookie 6, point 2
infile = ../dc764/transmittance_cookie6_1_30.txt
cookie 6, point 3
315 0.6843 0.00111355
320 0.719433 0.00141539
325 0.752133 0.00126623
330 0.7831 0.00134536
335 0.808233 0.0018037
340 0.8279 0.00108167
345 0.836833 0.000251661
350 0.840867 0.00100167
355 0.848667 0.0015695
360 0.8539 0.0019
365 0.8558 0.0018
370 0.857367 0.00100664
375 0.870733 0.0016563
380 0.877467 0.000971253
385 0.884267 0.00120554
390 0.887333 0.00150444
395 0.892367 0.00117189
400 0.892033 0.00244404
405 0.895 0.00272213
410 0.898033 0.00239653
415 0.899567 0.00232451
420 0.900667 0.00195021
425 0.9011 0.00216564
430 0.9036 0.00243311
435 0.905333 0.00235018
440 0.906267 0.00234592
445 0.906033 0.00170098
450 0.908067 0.000862168
455 0.909333 0.00231157
460 0.910933 0.00195533
465 0.911433 0.00248261
470 0.9109 0.00191572
475 0.908367 0.00168028
480 0.912767 0.00254034
485 0.910267 0.00228108
490 0.9119 0.00246374
495 0.911433 0.00176163
500 0.911033 0.00205264
505 0.9087 0.00170587
510 0.908167 0.00207445
515 0.908667 0.00195533
520 0.908167 0.00202567
525 0.9065 0.00141067
530 0.905733 0.001823
535 0.904667 0.00181751
540 0.904833 0.00185562
545 0.9045 0.00220681
550 0.9028 0.00183303
555 0.9026 0.00173205
560 0.902667 0.00254231
565 0.902933 0.00208407
570 0.8995 0.0024
575 0.897767 0.00231805
580 0.896 0.00190788
585 0.894833 0.00190088
590 0.8942 0.00240624
595 0.8922 0.00295466
600 0.890033 0.00244199
