
Processing Draw_OneCookie.C(6,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie6_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 6, point 1 3, point 1
infile = ../dc764/transmittance_cookie6_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 6, point 2 3, point 2
infile = ../dc764/transmittance_cookie6_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 6, point 3 3, point 3
315 0.6843 0.00111355 0.7142 0.00611474
320 0.719433 0.00141539 0.7456 0.00576541
325 0.752133 0.00126623 0.775933 0.00356978
330 0.7831 0.00134536 0.8012 0.00292062
335 0.808233 0.0018037 0.827367 0.0024379
340 0.8279 0.00108167 0.847167 0.00225019
345 0.836833 0.000251661 0.855233 0.00176163
350 0.840867 0.00100167 0.8573 0.00160935
355 0.848667 0.0015695 0.862367 0.00133167
360 0.8539 0.0019 0.867267 0.00106927
365 0.8558 0.0018 0.869133 0.00213854
370 0.857367 0.00100664 0.8705 0.00134536
375 0.870733 0.0016563 0.884 0.00158745
380 0.877467 0.000971253 0.888467 0.00171561
385 0.884267 0.00120554 0.8928 0.00135277
390 0.887333 0.00150444 0.896433 0.00255408
395 0.892367 0.00117189 0.9029 0.00275136
400 0.892033 0.00244404 0.904167 0.00320832
405 0.895 0.00272213 0.903367 0.00300222
410 0.898033 0.00239653 0.904167 0.00215019
415 0.899567 0.00232451 0.9064 0.00200749
420 0.900667 0.00195021 0.9093 0.00212838
425 0.9011 0.00216564 0.909833 0.0016563
430 0.9036 0.00243311 0.907833 0.00110151
435 0.905333 0.00235018 0.9078 0.000556776
440 0.906267 0.00234592 0.9092 0.000264575
445 0.906033 0.00170098 0.9112 0.000458258
450 0.908067 0.000862168 0.916133 0.00136137
455 0.909333 0.00231157 0.911967 0.00137961
460 0.910933 0.00195533 0.913 0.00121244
465 0.911433 0.00248261 0.914867 0.000960902
470 0.9109 0.00191572 0.917833 0.00145717
475 0.908367 0.00168028 0.9159 0.00191572
480 0.912767 0.00254034 0.915333 0.00222336
485 0.910267 0.00228108 0.913767 0.0020232
490 0.9119 0.00246374 0.910467 0.00085049
495 0.911433 0.00176163 0.913767 0.00125033
500 0.911033 0.00205264 0.912733 0.0010504
505 0.9087 0.00170587 0.9112 0.0011
510 0.908167 0.00207445 0.910733 0.000152753
515 0.908667 0.00195533 0.907467 0.000378594
520 0.908167 0.00202567 0.9085 0.0007
525 0.9065 0.00141067 0.9084 0.0002
530 0.905733 0.001823 0.908433 0.000351188
535 0.904667 0.00181751 0.9082 0.00131149
540 0.904833 0.00185562 0.904033 0.000750555
545 0.9045 0.00220681 0.905267 0.000208167
550 0.9028 0.00183303 0.904967 0.00158219
555 0.9026 0.00173205 0.9042 0.00196723
560 0.902667 0.00254231 0.903967 0.00170098
565 0.902933 0.00208407 0.901733 0.00228108
570 0.8995 0.0024 0.899733 0.00168622
575 0.897767 0.00231805 0.898867 0.00144338
580 0.896 0.00190788 0.897167 0.00153731
585 0.894833 0.00190088 0.8935 0.00131149
590 0.8942 0.00240624 0.890567 0.00143643
595 0.8922 0.00295466 0.8898 0.00199249
600 0.890033 0.00244199 0.887733 0.00257358
