
Processing Draw_OneCookie.C(14,1)...
infile = ../dc764/transmittance_cookie14_1_10.txt
cookie 14, point 1
infile = ../dc764/transmittance_cookie14_1_20.txt
cookie 14, point 2
infile = ../dc764/transmittance_cookie14_1_30.txt
cookie 14, point 3
315 0.6888 0.00285832
320 0.721767 0.00237978
325 0.753433 0.00273191
330 0.782667 0.00276104
335 0.808833 0.00304357
340 0.827667 0.00328836
345 0.837133 0.00161967
350 0.8428 0.0017088
355 0.850167 0.00205994
360 0.8559 0.0021
365 0.855833 0.00196554
370 0.856433 0.00155671
375 0.869533 0.00168622
380 0.877533 0.00246644
385 0.882333 0.00166233
390 0.885667 0.00159478
395 0.890367 0.00136137
400 0.892133 0.00102144
405 0.8917 0.00121655
410 0.893867 0.00204042
415 0.8957 0.00216564
420 0.898533 0.00237557
425 0.8984 0.00204206
430 0.899667 0.00125831
435 0.901167 0.00172143
440 0.903533 0.00212211
445 0.9036 0.00275136
450 0.905933 0.00237978
455 0.904233 0.00183394
460 0.905733 0.00155027
465 0.907033 0.00145717
470 0.908933 0.00142945
475 0.9063 0.00135277
480 0.9054 0.00141774
485 0.905233 0.00051316
490 0.904333 0.000907377
495 0.906433 0.00165025
500 0.907333 0.00245832
505 0.904 0.00210713
510 0.903633 0.000971253
515 0.904033 0.00161967
520 0.902133 0.00173877
525 0.903267 0.00168622
530 0.900933 0.00161967
535 0.8992 0.00170587
540 0.8986 0.00117898
545 0.8985 0.00145258
550 0.899233 0.00120968
555 0.8994 0.00127671
560 0.898 0.00127671
565 0.8949 0.001
570 0.8942 0.0011
575 0.892633 0.00127017
580 0.892033 0.00162583
585 0.8905 0.00200749
590 0.887967 0.00155027
595 0.886733 0.00136504
600 0.884633 0.00109697
