
Processing Draw_OneCookie.C(9,2)...
infile = ../dc764/transmittance_cookie9_2_10.txt
cookie 9, point 1
infile = ../dc764/transmittance_cookie9_2_20.txt
cookie 9, point 2
infile = ../dc764/transmittance_cookie9_2_30.txt
cookie 9, point 3
315 0.6726 0.00141774
320 0.707033 0.0015308
325 0.741367 0.00051316
330 0.771167 0.000665833
335 0.7998 0.00200749
340 0.822 0.00265141
345 0.832 0.001249
350 0.836533 0.000450925
355 0.844033 0.00180093
360 0.849467 0.00126623
365 0.8504 0.00180831
370 0.8533 0.00104403
375 0.867533 0.000750555
380 0.873433 0.00135031
385 0.878567 0.0010116
390 0.882633 0.00106927
395 0.8886 0.00160935
400 0.889633 0.00149778
405 0.892567 0.00120139
410 0.8947 0.00127671
415 0.896333 0.00189297
420 0.8999 0.00200749
425 0.899467 0.00136137
430 0.901133 0.00181475
435 0.901733 0.0015308
440 0.902133 0.00170392
445 0.902733 0.00250067
450 0.906633 0.00179258
455 0.904367 0.00187172
460 0.9062 0.00103923
465 0.905967 0.00181475
470 0.9085 0.00295466
475 0.905933 0.00235018
480 0.906633 0.00220076
485 0.907033 0.00170098
490 0.906867 0.0018037
495 0.907367 0.00145029
500 0.908867 0.00253246
505 0.906467 0.00174738
510 0.905267 0.00119304
515 0.905233 0.000737111
520 0.9031 0.000818535
525 0.902467 0.00137961
530 0.9008 0.00141774
535 0.900033 0.00168028
540 0.8994 0.000655744
545 0.897933 0.00115902
550 0.896067 0.00155027
555 0.895867 0.0020502
560 0.896267 0.00210317
565 0.8949 0.00153948
570 0.8935 0.00121244
575 0.892633 0.00134288
580 0.888233 0.00156312
585 0.888567 0.00138684
590 0.887067 0.00109697
595 0.884633 0.00125033
600 0.884167 0.000986577
