
Processing Draw_OneCookie.C(8,2)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie8_2_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 8, point 1 3, point 1
infile = ../dc764/transmittance_cookie8_2_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 8, point 2 3, point 2
infile = ../dc764/transmittance_cookie8_2_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 8, point 3 3, point 3
315 0.677833 0.00889401 0.7142 0.00611474
320 0.711633 0.00609289 0.7456 0.00576541
325 0.745233 0.0066335 0.775933 0.00356978
330 0.774433 0.00527857 0.8012 0.00292062
335 0.7999 0.00655744 0.827367 0.0024379
340 0.821467 0.00551936 0.847167 0.00225019
345 0.83 0.00531131 0.855233 0.00176163
350 0.834667 0.00640807 0.8573 0.00160935
355 0.8432 0.00636475 0.862367 0.00133167
360 0.8489 0.00530283 0.867267 0.00106927
365 0.851933 0.00441852 0.869133 0.00213854
370 0.854567 0.00303535 0.8705 0.00134536
375 0.868867 0.00328836 0.884 0.00158745
380 0.877167 0.00420991 0.888467 0.00171561
385 0.882833 0.00424421 0.8928 0.00135277
390 0.886567 0.00384231 0.896433 0.00255408
395 0.892367 0.00241109 0.9029 0.00275136
400 0.893033 0.00213854 0.904167 0.00320832
405 0.8946 0.00331512 0.903367 0.00300222
410 0.896367 0.00323471 0.904167 0.00215019
415 0.8968 0.00260576 0.9064 0.00200749
420 0.8995 0.00199249 0.9093 0.00212838
425 0.900167 0.00140119 0.909833 0.0016563
430 0.901733 0.0025697 0.907833 0.00110151
435 0.902133 0.00265769 0.9078 0.000556776
440 0.903867 0.00332315 0.9092 0.000264575
445 0.9046 0.00272213 0.9112 0.000458258
450 0.906833 0.00240901 0.916133 0.00136137
455 0.9072 0.00416173 0.911967 0.00137961
460 0.908433 0.00390043 0.913 0.00121244
465 0.909367 0.00427239 0.914867 0.000960902
470 0.911067 0.00299388 0.917833 0.00145717
475 0.908733 0.00330807 0.9159 0.00191572
480 0.908133 0.0023094 0.915333 0.00222336
485 0.908 0.00311769 0.913767 0.0020232
490 0.9082 0.00295973 0.910467 0.00085049
495 0.909 0.00293087 0.913767 0.00125033
500 0.908267 0.0015885 0.912733 0.0010504
505 0.9051 0.0018 0.9112 0.0011
510 0.904467 0.00237136 0.910733 0.000152753
515 0.9042 0.00260576 0.907467 0.000378594
520 0.903933 0.0025697 0.9085 0.0007
525 0.903367 0.00198578 0.9084 0.0002
530 0.9016 0.00264575 0.908433 0.000351188
535 0.901533 0.00338575 0.9082 0.00131149
540 0.9005 0.00359305 0.904033 0.000750555
545 0.899967 0.0031628 0.905267 0.000208167
550 0.8987 0.00264575 0.904967 0.00158219
555 0.899 0.00182483 0.9042 0.00196723
560 0.8982 0.00216564 0.903967 0.00170098
565 0.896167 0.00238607 0.901733 0.00228108
570 0.8947 0.00226053 0.899733 0.00168622
575 0.893567 0.00172434 0.898867 0.00144338
580 0.891467 0.00110604 0.897167 0.00153731
585 0.890333 0.00109697 0.8935 0.00131149
590 0.8881 0.00147309 0.890567 0.00143643
595 0.885967 0.00193477 0.8898 0.00199249
600 0.8845 0.00252389 0.887733 0.00257358
