
Processing Draw_OneCookie.C(10,1)...
infile = ../dc764/transmittance_cookie10_1_10.txt
cookie 10, point 1
infile = ../dc764/transmittance_cookie10_1_20.txt
cookie 10, point 2
infile = ../dc764/transmittance_cookie10_1_30.txt
cookie 10, point 3
315 0.6923 0.00644438
320 0.7278 0.00545802
325 0.757967 0.00646942
330 0.7897 0.00554617
335 0.8144 0.00607536
340 0.834167 0.00515978
345 0.844533 0.00565184
350 0.847833 0.00716961
355 0.854167 0.00665833
360 0.8584 0.00581292
365 0.859333 0.00446132
370 0.859733 0.00441173
375 0.8727 0.00506853
380 0.8805 0.00483839
385 0.8844 0.00459674
390 0.8881 0.0031241
395 0.892667 0.00274651
400 0.8948 0.00326956
405 0.894067 0.00352467
410 0.896867 0.00400791
415 0.8978 0.00438634
420 0.899767 0.00395011
425 0.900433 0.00485833
430 0.900167 0.0051984
435 0.899933 0.00485833
440 0.899967 0.0050362
445 0.902467 0.00457857
450 0.905033 0.00456545
455 0.904133 0.00506392
460 0.9047 0.00479479
465 0.904233 0.00412957
470 0.907733 0.00317857
475 0.906767 0.00321455
480 0.905467 0.00393107
485 0.9054 0.00364966
490 0.905333 0.00315647
495 0.905567 0.0038371
500 0.9062 0.00417612
505 0.9049 0.00427902
510 0.903533 0.00427239
515 0.901433 0.00445571
520 0.900267 0.00473533
525 0.898967 0.00413562
530 0.8985 0.00330454
535 0.897633 0.00307463
540 0.896467 0.00338575
545 0.896733 0.00347755
550 0.898067 0.00295014
555 0.897133 0.00292803
560 0.894833 0.00257164
565 0.893033 0.00333816
570 0.891633 0.00351046
575 0.8911 0.00313209
580 0.888167 0.00365559
585 0.8892 0.00376431
590 0.888067 0.00386954
595 0.8861 0.00415692
600 0.8831 0.00389744
