
Processing Draw_OneCookie.C(2,0,false)...
infile = ../dc764/transmittance_cookie2_0_10.txt
cookie 2, point 1
infile = ../dc764/transmittance_cookie2_0_20.txt
cookie 2, point 2
infile = ../dc764/transmittance_cookie2_0_30.txt
cookie 2, point 3
315 0.669333 0.00542433
320 0.702233 0.00238607
325 0.7235 0.00255147
330 0.754533 0.00520128
335 0.775067 0.00316596
340 0.791767 0.00196044
345 0.804567 0.00240069
350 0.805933 0.000776745
355 0.807067 0.00480555
360 0.810033 0.00388115
365 0.8155 0.00287924
370 0.811467 0.00603849
375 0.8265 0.00545802
380 0.840333 0.00525959
385 0.837833 0.00639088
390 0.839267 0.011041
395 0.847467 0.0115362
400 0.850267 0.0131941
405 0.849867 0.00904728
410 0.846867 0.0139371
415 0.8448 0.00942709
420 0.8517 0.0183576
425 0.845733 0.017945
430 0.849 0.0174233
435 0.850233 0.0169356
440 0.8565 0.0204186
445 0.8487 0.0245006
450 0.847533 0.00856407
455 0.854533 0.0281308
460 0.8624 0.0100643
465 0.860967 0.0173183
470 0.854167 0.0297611
475 0.8465 0.0305923
480 0.845167 0.0260158
485 0.847367 0.0249169
490 0.850667 0.0260293
495 0.858267 0.0274548
500 0.8669 0.0153206
505 0.868733 0.01665
510 0.848433 0.0294099
515 0.829033 0.00694286
520 0.8549 0.0225675
525 0.869933 0.0183438
530 0.8317 0.00777367
535 0.853267 0.0268001
540 0.860467 0.0236369
545 0.824767 0.0175514
550 0.872467 0.0125085
555 0.819567 0.00488092
560 0.874233 0.0111733
565 0.824 0.0162502
570 0.856933 0.0184001
575 0.843633 0.0233121
580 0.8135 0.00875842
585 0.8707 0.00319531
590 0.8174 0.0131328
595 0.8163 0.0172711
600 0.866033 0.00536128
