
Processing Draw_OneCookie.C(6,2)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie6_2_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 6, point 1 3, point 1
infile = ../dc764/transmittance_cookie6_2_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 6, point 2 3, point 2
infile = ../dc764/transmittance_cookie6_2_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 6, point 3 3, point 3
315 0.710267 0.00011547 0.7142 0.00611474
320 0.744067 0.00051316 0.7456 0.00576541
325 0.774533 0.00046188 0.775933 0.00356978
330 0.8061 0.0008544 0.8012 0.00292062
335 0.833667 0.000862168 0.827367 0.0024379
340 0.851433 0.00145717 0.847167 0.00225019
345 0.860033 0.00110604 0.855233 0.00176163
350 0.8629 0.000556776 0.8573 0.00160935
355 0.868733 0.00130512 0.862367 0.00133167
360 0.873367 0.00205508 0.867267 0.00106927
365 0.8734 0.00246374 0.869133 0.00213854
370 0.874733 0.00126623 0.8705 0.00134536
375 0.886133 0.000737111 0.884 0.00158745
380 0.891967 0.000896289 0.888467 0.00171561
385 0.896833 0.00164418 0.8928 0.00135277
390 0.899667 0.00115036 0.896433 0.00255408
395 0.9037 0.000556776 0.9029 0.00275136
400 0.902533 0.000472582 0.904167 0.00320832
405 0.903933 0.00110151 0.903367 0.00300222
410 0.9051 0.00204206 0.904167 0.00215019
415 0.905867 0.00195021 0.9064 0.00200749
420 0.905733 0.00135031 0.9093 0.00212838
425 0.905233 0.000960902 0.909833 0.0016563
430 0.905 0.00111355 0.907833 0.00110151
435 0.906433 0.00194251 0.9078 0.000556776
440 0.906967 0.00228983 0.9092 0.000264575
445 0.907233 0.00176163 0.9112 0.000458258
450 0.909633 0.00112398 0.916133 0.00136137
455 0.910067 0.00137961 0.911967 0.00137961
460 0.910667 0.00142945 0.913 0.00121244
465 0.912167 0.00145717 0.914867 0.000960902
470 0.911733 0.000862168 0.917833 0.00145717
475 0.909367 0.000585947 0.9159 0.00191572
480 0.913133 0.00175024 0.915333 0.00222336
485 0.9102 0.00135277 0.913767 0.0020232
490 0.911733 0.00228546 0.910467 0.00085049
495 0.910833 0.0017673 0.913767 0.00125033
500 0.912333 0.00142244 0.912733 0.0010504
505 0.9084 0.00164621 0.9112 0.0011
510 0.907233 0.00208167 0.910733 0.000152753
515 0.9065 0.00230651 0.907467 0.000378594
520 0.906267 0.00214554 0.9085 0.0007
525 0.905533 0.00162583 0.9084 0.0002
530 0.9043 0.00166433 0.908433 0.000351188
535 0.902933 0.00133167 0.9082 0.00131149
540 0.902667 0.00153731 0.904033 0.000750555
545 0.902467 0.0015695 0.905267 0.000208167
550 0.901067 0.00130128 0.904967 0.00158219
555 0.900333 0.00080829 0.9042 0.00196723
560 0.900667 0.000757188 0.903967 0.00170098
565 0.8999 0.00072111 0.901733 0.00228108
570 0.899567 0.00155027 0.899733 0.00168622
575 0.896967 0.00145717 0.898867 0.00144338
580 0.895733 0.0010504 0.897167 0.00153731
585 0.894867 0.001823 0.8935 0.00131149
590 0.8934 0.00190788 0.890567 0.00143643
595 0.891733 0.00198578 0.8898 0.00199249
600 0.890267 0.00221886 0.887733 0.00257358
