
Processing Draw_OneCookie.C(10,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie10_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 10, point 1 3, point 1
infile = ../dc764/transmittance_cookie10_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 10, point 2 3, point 2
infile = ../dc764/transmittance_cookie10_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 10, point 3 3, point 3
315 0.6923 0.00644438 0.7142 0.00611474
320 0.7278 0.00545802 0.7456 0.00576541
325 0.757967 0.00646942 0.775933 0.00356978
330 0.7897 0.00554617 0.8012 0.00292062
335 0.8144 0.00607536 0.827367 0.0024379
340 0.834167 0.00515978 0.847167 0.00225019
345 0.844533 0.00565184 0.855233 0.00176163
350 0.847833 0.00716961 0.8573 0.00160935
355 0.854167 0.00665833 0.862367 0.00133167
360 0.8584 0.00581292 0.867267 0.00106927
365 0.859333 0.00446132 0.869133 0.00213854
370 0.859733 0.00441173 0.8705 0.00134536
375 0.8727 0.00506853 0.884 0.00158745
380 0.8805 0.00483839 0.888467 0.00171561
385 0.8844 0.00459674 0.8928 0.00135277
390 0.8881 0.0031241 0.896433 0.00255408
395 0.892667 0.00274651 0.9029 0.00275136
400 0.8948 0.00326956 0.904167 0.00320832
405 0.894067 0.00352467 0.903367 0.00300222
410 0.896867 0.00400791 0.904167 0.00215019
415 0.8978 0.00438634 0.9064 0.00200749
420 0.899767 0.00395011 0.9093 0.00212838
425 0.900433 0.00485833 0.909833 0.0016563
430 0.900167 0.0051984 0.907833 0.00110151
435 0.899933 0.00485833 0.9078 0.000556776
440 0.899967 0.0050362 0.9092 0.000264575
445 0.902467 0.00457857 0.9112 0.000458258
450 0.905033 0.00456545 0.916133 0.00136137
455 0.904133 0.00506392 0.911967 0.00137961
460 0.9047 0.00479479 0.913 0.00121244
465 0.904233 0.00412957 0.914867 0.000960902
470 0.907733 0.00317857 0.917833 0.00145717
475 0.906767 0.00321455 0.9159 0.00191572
480 0.905467 0.00393107 0.915333 0.00222336
485 0.9054 0.00364966 0.913767 0.0020232
490 0.905333 0.00315647 0.910467 0.00085049
495 0.905567 0.0038371 0.913767 0.00125033
500 0.9062 0.00417612 0.912733 0.0010504
505 0.9049 0.00427902 0.9112 0.0011
510 0.903533 0.00427239 0.910733 0.000152753
515 0.901433 0.00445571 0.907467 0.000378594
520 0.900267 0.00473533 0.9085 0.0007
525 0.898967 0.00413562 0.9084 0.0002
530 0.8985 0.00330454 0.908433 0.000351188
535 0.897633 0.00307463 0.9082 0.00131149
540 0.896467 0.00338575 0.904033 0.000750555
545 0.896733 0.00347755 0.905267 0.000208167
550 0.898067 0.00295014 0.904967 0.00158219
555 0.897133 0.00292803 0.9042 0.00196723
560 0.894833 0.00257164 0.903967 0.00170098
565 0.893033 0.00333816 0.901733 0.00228108
570 0.891633 0.00351046 0.899733 0.00168622
575 0.8911 0.00313209 0.898867 0.00144338
580 0.888167 0.00365559 0.897167 0.00153731
585 0.8892 0.00376431 0.8935 0.00131149
590 0.888067 0.00386954 0.890567 0.00143643
595 0.8861 0.00415692 0.8898 0.00199249
600 0.8831 0.00389744 0.887733 0.00257358
