
Processing Draw_OneCookie.C(8,2)...
infile = ../dc764/transmittance_cookie8_2_10.txt
cookie 8, point 1
infile = ../dc764/transmittance_cookie8_2_20.txt
cookie 8, point 2
infile = ../dc764/transmittance_cookie8_2_30.txt
cookie 8, point 3
315 0.677833 0.00889401
320 0.711633 0.00609289
325 0.745233 0.0066335
330 0.774433 0.00527857
335 0.7999 0.00655744
340 0.821467 0.00551936
345 0.83 0.00531131
350 0.834667 0.00640807
355 0.8432 0.00636475
360 0.8489 0.00530283
365 0.851933 0.00441852
370 0.854567 0.00303535
375 0.868867 0.00328836
380 0.877167 0.00420991
385 0.882833 0.00424421
390 0.886567 0.00384231
395 0.892367 0.00241109
400 0.893033 0.00213854
405 0.8946 0.00331512
410 0.896367 0.00323471
415 0.8968 0.00260576
420 0.8995 0.00199249
425 0.900167 0.00140119
430 0.901733 0.0025697
435 0.902133 0.00265769
440 0.903867 0.00332315
445 0.9046 0.00272213
450 0.906833 0.00240901
455 0.9072 0.00416173
460 0.908433 0.00390043
465 0.909367 0.00427239
470 0.911067 0.00299388
475 0.908733 0.00330807
480 0.908133 0.0023094
485 0.908 0.00311769
490 0.9082 0.00295973
495 0.909 0.00293087
500 0.908267 0.0015885
505 0.9051 0.0018
510 0.904467 0.00237136
515 0.9042 0.00260576
520 0.903933 0.0025697
525 0.903367 0.00198578
530 0.9016 0.00264575
535 0.901533 0.00338575
540 0.9005 0.00359305
545 0.899967 0.0031628
550 0.8987 0.00264575
555 0.899 0.00182483
560 0.8982 0.00216564
565 0.896167 0.00238607
570 0.8947 0.00226053
575 0.893567 0.00172434
580 0.891467 0.00110604
585 0.890333 0.00109697
590 0.8881 0.00147309
595 0.885967 0.00193477
600 0.8845 0.00252389
