
Processing Draw_OneCookie.C(16,1)...
infile = ../dc764/transmittance_cookie16_1_10.txt
cookie 16, point 1
infile = ../dc764/transmittance_cookie16_1_20.txt
cookie 16, point 2
infile = ../dc764/transmittance_cookie16_1_30.txt
cookie 16, point 3
315 0.693633 0.00358376
320 0.726867 0.00275923
325 0.757433 0.00303699
330 0.7857 0.0020664
335 0.812333 0.00245425
340 0.833267 0.00217332
345 0.843833 0.00325781
350 0.848033 0.00372335
355 0.8529 0.00266646
360 0.857033 0.00185831
365 0.859267 0.00166533
370 0.861167 0.00209841
375 0.873367 0.00230072
380 0.878833 0.00130512
385 0.882167 0.000635085
390 0.886067 0.000776745
395 0.8922 0.00104403
400 0.8952 0.00176918
405 0.8952 0.00186815
410 0.896233 0.00181475
415 0.897533 0.00135031
420 0.900333 0.00191398
425 0.9013 0.00200749
430 0.9026 0.00246374
435 0.9024 0.00200749
440 0.902033 0.00130512
445 0.902733 0.000650641
450 0.9067 0.00108167
455 0.9055 0.0010583
460 0.906833 0.0010116
465 0.906433 0.000550757
470 0.9087 0.00043589
475 0.9058 0.00034641
480 0.908333 0.00117189
485 0.9074 0.000754983
490 0.9059 0.000360555
495 0.907233 0.000907377
500 0.907 0.00155242
505 0.905967 0.00137961
510 0.9053 0.00164621
515 0.9044 0.00131149
520 0.903167 0.00130512
525 0.901967 0.00102144
530 0.901633 0.000981495
535 0.9012 0.00115326
540 0.898533 0.00110604
545 0.897433 0.00085049
550 0.896267 0.00090185
555 0.895433 0.000907377
560 0.895033 0.000862168
565 0.893 0.00185203
570 0.8937 0.00250599
575 0.8919 0.00170587
580 0.890667 0.00109697
585 0.890133 0.00151438
590 0.888967 0.00220303
595 0.888533 0.00219393
600 0.885133 0.00147422
