
Processing Draw_OneCookie.C(6,2)...
infile = ../dc764/transmittance_cookie6_2_10.txt
cookie 6, point 1
infile = ../dc764/transmittance_cookie6_2_20.txt
cookie 6, point 2
infile = ../dc764/transmittance_cookie6_2_30.txt
cookie 6, point 3
315 0.710267 0.00011547
320 0.744067 0.00051316
325 0.774533 0.00046188
330 0.8061 0.0008544
335 0.833667 0.000862168
340 0.851433 0.00145717
345 0.860033 0.00110604
350 0.8629 0.000556776
355 0.868733 0.00130512
360 0.873367 0.00205508
365 0.8734 0.00246374
370 0.874733 0.00126623
375 0.886133 0.000737111
380 0.891967 0.000896289
385 0.896833 0.00164418
390 0.899667 0.00115036
395 0.9037 0.000556776
400 0.902533 0.000472582
405 0.903933 0.00110151
410 0.9051 0.00204206
415 0.905867 0.00195021
420 0.905733 0.00135031
425 0.905233 0.000960902
430 0.905 0.00111355
435 0.906433 0.00194251
440 0.906967 0.00228983
445 0.907233 0.00176163
450 0.909633 0.00112398
455 0.910067 0.00137961
460 0.910667 0.00142945
465 0.912167 0.00145717
470 0.911733 0.000862168
475 0.909367 0.000585947
480 0.913133 0.00175024
485 0.9102 0.00135277
490 0.911733 0.00228546
495 0.910833 0.0017673
500 0.912333 0.00142244
505 0.9084 0.00164621
510 0.907233 0.00208167
515 0.9065 0.00230651
520 0.906267 0.00214554
525 0.905533 0.00162583
530 0.9043 0.00166433
535 0.902933 0.00133167
540 0.902667 0.00153731
545 0.902467 0.0015695
550 0.901067 0.00130128
555 0.900333 0.00080829
560 0.900667 0.000757188
565 0.8999 0.00072111
570 0.899567 0.00155027
575 0.896967 0.00145717
580 0.895733 0.0010504
585 0.894867 0.001823
590 0.8934 0.00190788
595 0.891733 0.00198578
600 0.890267 0.00221886
