
Processing Draw_OneCookie.C(15,3)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie15_3_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 15, point 1 3, point 1
infile = ../dc764/transmittance_cookie15_3_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 15, point 2 3, point 2
infile = ../dc764/transmittance_cookie15_3_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 15, point 3 3, point 3
315 0.664467 0.0107286 0.7142 0.00611474
320 0.701733 0.00928781 0.7456 0.00576541
325 0.732133 0.0120093 0.775933 0.00356978
330 0.7612 0.0101385 0.8012 0.00292062
335 0.7867 0.00952943 0.827367 0.0024379
340 0.809967 0.00971665 0.847167 0.00225019
345 0.819867 0.0101791 0.855233 0.00176163
350 0.8241 0.00973499 0.8573 0.00160935
355 0.8307 0.00960833 0.862367 0.00133167
360 0.835333 0.00963967 0.867267 0.00106927
365 0.838767 0.00836919 0.869133 0.00213854
370 0.8433 0.0078924 0.8705 0.00134536
375 0.856 0.00818535 0.884 0.00158745
380 0.862733 0.00799521 0.888467 0.00171561
385 0.865933 0.00784496 0.8928 0.00135277
390 0.8707 0.00721942 0.896433 0.00255408
395 0.8778 0.00703776 0.9029 0.00275136
400 0.882033 0.00778867 0.904167 0.00320832
405 0.8824 0.00776595 0.903367 0.00300222
410 0.883 0.00805729 0.904167 0.00215019
415 0.8836 0.0076922 0.9064 0.00200749
420 0.886967 0.00695006 0.9093 0.00212838
425 0.887867 0.00745274 0.909833 0.0016563
430 0.889433 0.00695869 0.907833 0.00110151
435 0.8896 0.00681102 0.9078 0.000556776
440 0.889 0.00618789 0.9092 0.000264575
445 0.890333 0.00556447 0.9112 0.000458258
450 0.895467 0.00493187 0.916133 0.00136137
455 0.893933 0.00525579 0.911967 0.00137961
460 0.894233 0.0050856 0.913 0.00121244
465 0.8935 0.00512152 0.914867 0.000960902
470 0.895033 0.00496521 0.917833 0.00145717
475 0.8957 0.00508626 0.9159 0.00191572
480 0.897133 0.0049521 0.915333 0.00222336
485 0.8972 0.00600999 0.913767 0.0020232
490 0.894633 0.00655769 0.910467 0.00085049
495 0.895167 0.00629471 0.913767 0.00125033
500 0.8961 0.00521632 0.912733 0.0010504
505 0.892367 0.00455448 0.9112 0.0011
510 0.894633 0.00438786 0.910733 0.000152753
515 0.8932 0.0044238 0.907467 0.000378594
520 0.892533 0.00441173 0.9085 0.0007
525 0.890667 0.00395264 0.9084 0.0002
530 0.890567 0.00327465 0.908433 0.000351188
535 0.890733 0.00315331 0.9082 0.00131149
540 0.890233 0.00335609 0.904033 0.000750555
545 0.889233 0.003139 0.905267 0.000208167
550 0.888567 0.00379781 0.904967 0.00158219
555 0.887733 0.00380044 0.9042 0.00196723
560 0.887367 0.0040612 0.903967 0.00170098
565 0.883267 0.00482321 0.901733 0.00228108
570 0.882133 0.00522717 0.899733 0.00168622
575 0.8825 0.00528299 0.898867 0.00144338
580 0.880767 0.00569766 0.897167 0.00153731
585 0.879967 0.0050362 0.8935 0.00131149
590 0.8778 0.00575847 0.890567 0.00143643
595 0.876267 0.00491359 0.8898 0.00199249
600 0.873833 0.00518588 0.887733 0.00257358
