
Processing Draw_OneCookie.C(8,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie8_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 8, point 1 3, point 1
infile = ../dc764/transmittance_cookie8_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 8, point 2 3, point 2
infile = ../dc764/transmittance_cookie8_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 8, point 3 3, point 3
315 0.7008 0.000984886 0.7142 0.00611474
320 0.726667 0.00155027 0.7456 0.00576541
325 0.7598 0.00287924 0.775933 0.00356978
330 0.787967 0.00242143 0.8012 0.00292062
335 0.814833 0.00105987 0.827367 0.0024379
340 0.833033 0.00197315 0.847167 0.00225019
345 0.843233 0.00176163 0.855233 0.00176163
350 0.8464 0.0031 0.8573 0.00160935
355 0.852833 0.00270617 0.862367 0.00133167
360 0.857867 0.00218251 0.867267 0.00106927
365 0.860033 0.0015308 0.869133 0.00213854
370 0.864133 0.00125831 0.8705 0.00134536
375 0.876733 0.00221435 0.884 0.00158745
380 0.883 0.00308058 0.888467 0.00171561
385 0.887533 0.00245425 0.8928 0.00135277
390 0.892867 0.00172143 0.896433 0.00255408
395 0.898033 0.0016773 0.9029 0.00275136
400 0.898333 0.00260064 0.904167 0.00320832
405 0.898933 0.00273008 0.903367 0.00300222
410 0.9007 0.00208806 0.904167 0.00215019
415 0.902733 0.00132035 0.9064 0.00200749
420 0.906133 0.00051316 0.9093 0.00212838
425 0.905533 0.00100167 0.909833 0.0016563
430 0.906133 0.00174738 0.907833 0.00110151
435 0.906633 0.00165025 0.9078 0.000556776
440 0.9078 0.00157162 0.9092 0.000264575
445 0.908167 0.000971253 0.9112 0.000458258
450 0.911933 0.00085049 0.916133 0.00136137
455 0.910867 0.00172434 0.911967 0.00137961
460 0.911133 0.0022745 0.913 0.00121244
465 0.912867 0.00185831 0.914867 0.000960902
470 0.913333 0.00109697 0.917833 0.00145717
475 0.9109 0.00138564 0.9159 0.00191572
480 0.911133 0.00174738 0.915333 0.00222336
485 0.910067 0.00239653 0.913767 0.0020232
490 0.909367 0.00217332 0.910467 0.00085049
495 0.9108 0.00166433 0.913767 0.00125033
500 0.911433 0.00122202 0.912733 0.0010504
505 0.9091 0.001249 0.9112 0.0011
510 0.9077 0.00150997 0.910733 0.000152753
515 0.907067 0.00175024 0.907467 0.000378594
520 0.906567 0.00173877 0.9085 0.0007
525 0.906 0.00131149 0.9084 0.0002
530 0.906167 0.00130512 0.908433 0.000351188
535 0.904633 0.00161658 0.9082 0.00131149
540 0.904167 0.00147422 0.904033 0.000750555
545 0.9044 0.0013 0.905267 0.000208167
550 0.901967 0.00113725 0.904967 0.00158219
555 0.901033 0.00080829 0.9042 0.00196723
560 0.9017 0.00105357 0.903967 0.00170098
565 0.899233 0.00130128 0.901733 0.00228108
570 0.8989 0.00131149 0.899733 0.00168622
575 0.8976 0.001 0.898867 0.00144338
580 0.895767 0.000503322 0.897167 0.00153731
585 0.8952 0.0007 0.8935 0.00131149
590 0.8905 0.00043589 0.890567 0.00143643
595 0.888533 0.000503322 0.8898 0.00199249
600 0.889433 0.00051316 0.887733 0.00257358
