
Processing Draw_OneCookie.C(16,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie16_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 16, point 1 3, point 1
infile = ../dc764/transmittance_cookie16_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 16, point 2 3, point 2
infile = ../dc764/transmittance_cookie16_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 16, point 3 3, point 3
315 0.693633 0.00358376 0.7142 0.00611474
320 0.726867 0.00275923 0.7456 0.00576541
325 0.757433 0.00303699 0.775933 0.00356978
330 0.7857 0.0020664 0.8012 0.00292062
335 0.812333 0.00245425 0.827367 0.0024379
340 0.833267 0.00217332 0.847167 0.00225019
345 0.843833 0.00325781 0.855233 0.00176163
350 0.848033 0.00372335 0.8573 0.00160935
355 0.8529 0.00266646 0.862367 0.00133167
360 0.857033 0.00185831 0.867267 0.00106927
365 0.859267 0.00166533 0.869133 0.00213854
370 0.861167 0.00209841 0.8705 0.00134536
375 0.873367 0.00230072 0.884 0.00158745
380 0.878833 0.00130512 0.888467 0.00171561
385 0.882167 0.000635085 0.8928 0.00135277
390 0.886067 0.000776745 0.896433 0.00255408
395 0.8922 0.00104403 0.9029 0.00275136
400 0.8952 0.00176918 0.904167 0.00320832
405 0.8952 0.00186815 0.903367 0.00300222
410 0.896233 0.00181475 0.904167 0.00215019
415 0.897533 0.00135031 0.9064 0.00200749
420 0.900333 0.00191398 0.9093 0.00212838
425 0.9013 0.00200749 0.909833 0.0016563
430 0.9026 0.00246374 0.907833 0.00110151
435 0.9024 0.00200749 0.9078 0.000556776
440 0.902033 0.00130512 0.9092 0.000264575
445 0.902733 0.000650641 0.9112 0.000458258
450 0.9067 0.00108167 0.916133 0.00136137
455 0.9055 0.0010583 0.911967 0.00137961
460 0.906833 0.0010116 0.913 0.00121244
465 0.906433 0.000550757 0.914867 0.000960902
470 0.9087 0.00043589 0.917833 0.00145717
475 0.9058 0.00034641 0.9159 0.00191572
480 0.908333 0.00117189 0.915333 0.00222336
485 0.9074 0.000754983 0.913767 0.0020232
490 0.9059 0.000360555 0.910467 0.00085049
495 0.907233 0.000907377 0.913767 0.00125033
500 0.907 0.00155242 0.912733 0.0010504
505 0.905967 0.00137961 0.9112 0.0011
510 0.9053 0.00164621 0.910733 0.000152753
515 0.9044 0.00131149 0.907467 0.000378594
520 0.903167 0.00130512 0.9085 0.0007
525 0.901967 0.00102144 0.9084 0.0002
530 0.901633 0.000981495 0.908433 0.000351188
535 0.9012 0.00115326 0.9082 0.00131149
540 0.898533 0.00110604 0.904033 0.000750555
545 0.897433 0.00085049 0.905267 0.000208167
550 0.896267 0.00090185 0.904967 0.00158219
555 0.895433 0.000907377 0.9042 0.00196723
560 0.895033 0.000862168 0.903967 0.00170098
565 0.893 0.00185203 0.901733 0.00228108
570 0.8937 0.00250599 0.899733 0.00168622
575 0.8919 0.00170587 0.898867 0.00144338
580 0.890667 0.00109697 0.897167 0.00153731
585 0.890133 0.00151438 0.8935 0.00131149
590 0.888967 0.00220303 0.890567 0.00143643
595 0.888533 0.00219393 0.8898 0.00199249
600 0.885133 0.00147422 0.887733 0.00257358
