
Processing Draw_OneCookie.C(10,2)...
infile = ../dc764/transmittance_cookie10_2_10.txt
cookie 10, point 1
infile = ../dc764/transmittance_cookie10_2_20.txt
cookie 10, point 2
infile = ../dc764/transmittance_cookie10_2_30.txt
cookie 10, point 3
315 0.701767 0.00385919
320 0.730933 0.00670994
325 0.763933 0.00555368
330 0.793533 0.00500033
335 0.8193 0.00396863
340 0.839533 0.00355715
345 0.848833 0.00363501
350 0.851933 0.00371663
355 0.8584 0.00284781
360 0.8642 0.00240208
365 0.8667 0.0020664
370 0.868867 0.00148436
375 0.8799 0.00183303
380 0.883867 0.00135769
385 0.8882 0.00229129
390 0.892367 0.00231157
395 0.8963 0.00153948
400 0.896267 0.00145029
405 0.8956 0.00165227
410 0.896467 0.00192959
415 0.897867 0.00172143
420 0.901433 0.00115902
425 0.902267 0.00125033
430 0.902367 0.000650641
435 0.903433 0.00185562
440 0.904767 0.00200333
445 0.905067 0.00120554
450 0.9109 0.00104403
455 0.9098 0.0009
460 0.9087 0.00132288
465 0.908967 0.00217792
470 0.911867 0.00145717
475 0.910233 0.00191398
480 0.9115 0.000781025
485 0.9094 0.00121655
490 0.908767 0.00187705
495 0.909267 0.00152753
500 0.910333 0.0023029
505 0.908233 0.00153731
510 0.907133 0.00123423
515 0.9061 0.00132288
520 0.9049 0.0013
525 0.905667 0.00137961
530 0.905033 0.00125831
535 0.903333 0.00120554
540 0.901 0.00130767
545 0.900933 0.00197569
550 0.898433 0.00212211
555 0.900633 0.00205994
560 0.900067 0.00183394
565 0.897433 0.0022053
570 0.894333 0.00276104
575 0.892333 0.00233524
580 0.8914 0.00230651
585 0.8899 0.00160935
590 0.89 0.00134536
595 0.888167 0.00112398
600 0.885567 0.00106927
