
Processing Draw_OneCookie.C(7,2)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie7_2_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 7, point 1 3, point 1
infile = ../dc764/transmittance_cookie7_2_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 7, point 2 3, point 2
infile = ../dc764/transmittance_cookie7_2_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 7, point 3 3, point 3
315 0.685967 0.00267644 0.7142 0.00611474
320 0.7198 0.0020664 0.7456 0.00576541
325 0.750933 0.00280238 0.775933 0.00356978
330 0.781733 0.00367741 0.8012 0.00292062
335 0.8076 0.00456399 0.827367 0.0024379
340 0.8309 0.00409512 0.847167 0.00225019
345 0.839667 0.00414045 0.855233 0.00176163
350 0.843 0.00433128 0.8573 0.00160935
355 0.8495 0.00389358 0.862367 0.00133167
360 0.855767 0.0043501 0.867267 0.00106927
365 0.859267 0.00397031 0.869133 0.00213854
370 0.861533 0.00384231 0.8705 0.00134536
375 0.8726 0.003751 0.884 0.00158745
380 0.8793 0.00338674 0.888467 0.00171561
385 0.883967 0.00354448 0.8928 0.00135277
390 0.889567 0.00343123 0.896433 0.00255408
395 0.896 0.0025632 0.9029 0.00275136
400 0.8958 0.00272213 0.904167 0.00320832
405 0.8964 0.00207846 0.903367 0.00300222
410 0.898033 0.00204287 0.904167 0.00215019
415 0.899433 0.00215484 0.9064 0.00200749
420 0.903367 0.00195533 0.9093 0.00212838
425 0.902833 0.00165025 0.909833 0.0016563
430 0.9033 0.00194679 0.907833 0.00110151
435 0.903367 0.00251462 0.9078 0.000556776
440 0.904867 0.00248462 0.9092 0.000264575
445 0.906333 0.00220303 0.9112 0.000458258
450 0.9099 0.00219317 0.916133 0.00136137
455 0.908533 0.00208167 0.911967 0.00137961
460 0.909233 0.00174738 0.913 0.00121244
465 0.910433 0.0016773 0.914867 0.000960902
470 0.912533 0.00102632 0.917833 0.00145717
475 0.9107 0.00135277 0.9159 0.00191572
480 0.911 0.00196977 0.915333 0.00222336
485 0.91 0.00166433 0.913767 0.0020232
490 0.909833 0.00253837 0.910467 0.00085049
495 0.9102 0.0021166 0.913767 0.00125033
500 0.911767 0.00251064 0.912733 0.0010504
505 0.9084 0.00209523 0.9112 0.0011
510 0.9066 0.0023516 0.910733 0.000152753
515 0.904533 0.00205994 0.907467 0.000378594
520 0.905933 0.00309246 0.9085 0.0007
525 0.906133 0.00291433 0.9084 0.0002
530 0.9054 0.0028931 0.908433 0.000351188
535 0.903867 0.003177 0.9082 0.00131149
540 0.902633 0.00270617 0.904033 0.000750555
545 0.902767 0.00338575 0.905267 0.000208167
550 0.901467 0.00323316 0.904967 0.00158219
555 0.902433 0.00220076 0.9042 0.00196723
560 0.901433 0.00223681 0.903967 0.00170098
565 0.899033 0.00223681 0.901733 0.00228108
570 0.896267 0.00195021 0.899733 0.00168622
575 0.894733 0.00168028 0.898867 0.00144338
580 0.8955 0.0029 0.897167 0.00153731
585 0.8928 0.00292062 0.8935 0.00131149
590 0.891167 0.00352467 0.890567 0.00143643
595 0.889633 0.00328684 0.8898 0.00199249
600 0.888033 0.00295691 0.887733 0.00257358
