
Processing Draw_OneCookie.C(10,2)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie10_2_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 10, point 1 3, point 1
infile = ../dc764/transmittance_cookie10_2_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 10, point 2 3, point 2
infile = ../dc764/transmittance_cookie10_2_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 10, point 3 3, point 3
315 0.701767 0.00385919 0.7142 0.00611474
320 0.730933 0.00670994 0.7456 0.00576541
325 0.763933 0.00555368 0.775933 0.00356978
330 0.793533 0.00500033 0.8012 0.00292062
335 0.8193 0.00396863 0.827367 0.0024379
340 0.839533 0.00355715 0.847167 0.00225019
345 0.848833 0.00363501 0.855233 0.00176163
350 0.851933 0.00371663 0.8573 0.00160935
355 0.8584 0.00284781 0.862367 0.00133167
360 0.8642 0.00240208 0.867267 0.00106927
365 0.8667 0.0020664 0.869133 0.00213854
370 0.868867 0.00148436 0.8705 0.00134536
375 0.8799 0.00183303 0.884 0.00158745
380 0.883867 0.00135769 0.888467 0.00171561
385 0.8882 0.00229129 0.8928 0.00135277
390 0.892367 0.00231157 0.896433 0.00255408
395 0.8963 0.00153948 0.9029 0.00275136
400 0.896267 0.00145029 0.904167 0.00320832
405 0.8956 0.00165227 0.903367 0.00300222
410 0.896467 0.00192959 0.904167 0.00215019
415 0.897867 0.00172143 0.9064 0.00200749
420 0.901433 0.00115902 0.9093 0.00212838
425 0.902267 0.00125033 0.909833 0.0016563
430 0.902367 0.000650641 0.907833 0.00110151
435 0.903433 0.00185562 0.9078 0.000556776
440 0.904767 0.00200333 0.9092 0.000264575
445 0.905067 0.00120554 0.9112 0.000458258
450 0.9109 0.00104403 0.916133 0.00136137
455 0.9098 0.0009 0.911967 0.00137961
460 0.9087 0.00132288 0.913 0.00121244
465 0.908967 0.00217792 0.914867 0.000960902
470 0.911867 0.00145717 0.917833 0.00145717
475 0.910233 0.00191398 0.9159 0.00191572
480 0.9115 0.000781025 0.915333 0.00222336
485 0.9094 0.00121655 0.913767 0.0020232
490 0.908767 0.00187705 0.910467 0.00085049
495 0.909267 0.00152753 0.913767 0.00125033
500 0.910333 0.0023029 0.912733 0.0010504
505 0.908233 0.00153731 0.9112 0.0011
510 0.907133 0.00123423 0.910733 0.000152753
515 0.9061 0.00132288 0.907467 0.000378594
520 0.9049 0.0013 0.9085 0.0007
525 0.905667 0.00137961 0.9084 0.0002
530 0.905033 0.00125831 0.908433 0.000351188
535 0.903333 0.00120554 0.9082 0.00131149
540 0.901 0.00130767 0.904033 0.000750555
545 0.900933 0.00197569 0.905267 0.000208167
550 0.898433 0.00212211 0.904967 0.00158219
555 0.900633 0.00205994 0.9042 0.00196723
560 0.900067 0.00183394 0.903967 0.00170098
565 0.897433 0.0022053 0.901733 0.00228108
570 0.894333 0.00276104 0.899733 0.00168622
575 0.892333 0.00233524 0.898867 0.00144338
580 0.8914 0.00230651 0.897167 0.00153731
585 0.8899 0.00160935 0.8935 0.00131149
590 0.89 0.00134536 0.890567 0.00143643
595 0.888167 0.00112398 0.8898 0.00199249
600 0.885567 0.00106927 0.887733 0.00257358
