
Processing Draw_OneCookie.C(16,2)...
infile = ../dc764/transmittance_cookie16_2_10.txt
cookie 16, point 1
infile = ../dc764/transmittance_cookie16_2_20.txt
cookie 16, point 2
infile = ../dc764/transmittance_cookie16_2_30.txt
cookie 16, point 3
315 0.685733 0.00187172
320 0.721567 0.00155027
325 0.7505 0.00134536
330 0.7781 0.0032
335 0.802667 0.00416213
340 0.8242 0.0035
345 0.834767 0.00332315
350 0.838833 0.00302875
355 0.846 0.00278388
360 0.849133 0.00306649
365 0.852233 0.0033546
370 0.855 0.00262107
375 0.868133 0.00232881
380 0.8767 0.00168226
385 0.879467 0.00273008
390 0.8824 0.00334215
395 0.8883 0.00286182
400 0.891767 0.00228546
405 0.892667 0.00230072
410 0.894333 0.00263122
415 0.894067 0.00305341
420 0.896267 0.00299555
425 0.8972 0.00277849
430 0.898967 0.00251462
435 0.900433 0.00172434
440 0.900267 0.00195533
445 0.899567 0.00232451
450 0.904767 0.00187705
455 0.9023 0.0017088
460 0.904933 0.000945163
465 0.905267 0.00155027
470 0.907467 0.00145029
475 0.904767 0.00117189
480 0.904733 0.00144684
485 0.9047 0.00149332
490 0.9037 0.00165227
495 0.9052 0.00272213
500 0.904933 0.00309892
505 0.900967 0.00283608
510 0.900133 0.00249065
515 0.902167 0.00219393
520 0.9018 0.0028931
525 0.9002 0.00381576
530 0.899533 0.00313422
535 0.8994 0.00223383
540 0.8994 0.00165227
545 0.898633 0.00198578
550 0.8991 0.00190788
555 0.898767 0.00140119
560 0.8983 0.00200749
565 0.8945 0.00180278
570 0.894567 0.00151767
575 0.891967 0.00215484
580 0.890667 0.00245832
585 0.888967 0.00282902
590 0.887567 0.00261024
595 0.886833 0.00185562
600 0.8855 0.00183303
