
Processing Draw_OneCookie.C(14,2)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie14_2_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 14, point 1 3, point 1
infile = ../dc764/transmittance_cookie14_2_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 14, point 2 3, point 2
infile = ../dc764/transmittance_cookie14_2_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 14, point 3 3, point 3
315 0.699333 0.00395769 0.7142 0.00611474
320 0.730967 0.0010116 0.7456 0.00576541
325 0.7617 0.000608276 0.775933 0.00356978
330 0.7929 0.00173494 0.8012 0.00292062
335 0.820233 0.00205264 0.827367 0.0024379
340 0.8392 0.00157162 0.847167 0.00225019
345 0.849633 0.00217792 0.855233 0.00176163
350 0.8516 0.00323574 0.8573 0.00160935
355 0.8571 0.00334515 0.862367 0.00133167
360 0.863233 0.0035473 0.867267 0.00106927
365 0.864967 0.00310859 0.869133 0.00213854
370 0.8683 0.00290517 0.8705 0.00134536
375 0.8792 0.0036428 0.884 0.00158745
380 0.884933 0.00391195 0.888467 0.00171561
385 0.890067 0.00380175 0.8928 0.00135277
390 0.894767 0.00351331 0.896433 0.00255408
395 0.899433 0.00359073 0.9029 0.00275136
400 0.8996 0.0033 0.904167 0.00320832
405 0.898233 0.00380832 0.903367 0.00300222
410 0.9006 0.00377492 0.904167 0.00215019
415 0.9013 0.00380395 0.9064 0.00200749
420 0.903867 0.00375011 0.9093 0.00212838
425 0.902433 0.00403774 0.909833 0.0016563
430 0.9017 0.00459674 0.907833 0.00110151
435 0.901267 0.00508068 0.9078 0.000556776
440 0.903967 0.00520801 0.9092 0.000264575
445 0.905 0.00461303 0.9112 0.000458258
450 0.910367 0.00472476 0.916133 0.00136137
455 0.907867 0.00430155 0.911967 0.00137961
460 0.9088 0.00528299 0.913 0.00121244
465 0.9093 0.00547449 0.914867 0.000960902
470 0.911933 0.00472899 0.917833 0.00145717
475 0.909733 0.00345302 0.9159 0.00191572
480 0.909067 0.00395264 0.915333 0.00222336
485 0.906933 0.00437302 0.913767 0.0020232
490 0.9039 0.00417612 0.910467 0.00085049
495 0.9057 0.00482183 0.913767 0.00125033
500 0.907833 0.00461122 0.912733 0.0010504
505 0.905 0.003995 0.9112 0.0011
510 0.903233 0.00457857 0.910733 0.000152753
515 0.901467 0.00466083 0.907467 0.000378594
520 0.901167 0.0042336 0.9085 0.0007
525 0.900133 0.00378594 0.9084 0.0002
530 0.901033 0.00358515 0.908433 0.000351188
535 0.901267 0.00337244 0.9082 0.00131149
540 0.900267 0.0038553 0.904033 0.000750555
545 0.8971 0.00424382 0.905267 0.000208167
550 0.897133 0.00377403 0.904967 0.00158219
555 0.896433 0.0035949 0.9042 0.00196723
560 0.896633 0.00371663 0.903967 0.00170098
565 0.893767 0.00376076 0.901733 0.00228108
570 0.892267 0.00419563 0.899733 0.00168622
575 0.8905 0.00449333 0.898867 0.00144338
580 0.889933 0.00400791 0.897167 0.00153731
585 0.887967 0.00393107 0.8935 0.00131149
590 0.886433 0.00393107 0.890567 0.00143643
595 0.884367 0.00402534 0.8898 0.00199249
600 0.8804 0.00433474 0.887733 0.00257358
