
Processing Draw_OneCookie.C(13,2)...
infile = ../dc764/transmittance_cookie13_2_10.txt
cookie 13, point 1
infile = ../dc764/transmittance_cookie13_2_20.txt
cookie 13, point 2
infile = ../dc764/transmittance_cookie13_2_30.txt
cookie 13, point 3
315 0.681033 0.00142945
320 0.718167 0.00240901
325 0.748833 0.00245832
330 0.780367 0.00293655
335 0.807567 0.00310859
340 0.829333 0.00251661
345 0.838633 0.00220303
350 0.8418 0.00238118
355 0.8483 0.00240624
360 0.8553 0.0026
365 0.8585 0.00272213
370 0.860933 0.00149778
375 0.8725 0.00147309
380 0.879467 0.00175024
385 0.8849 0.00270555
390 0.889833 0.00291947
395 0.894867 0.00269506
400 0.8957 0.0024
405 0.894567 0.00339755
410 0.8978 0.00381576
415 0.899867 0.00341516
420 0.902067 0.00332315
425 0.901933 0.00280416
430 0.901067 0.00264071
435 0.902 0.00255147
440 0.9029 0.00283549
445 0.904167 0.00275923
450 0.908233 0.00187705
455 0.904333 0.00243379
460 0.905167 0.001823
465 0.906733 0.00185562
470 0.9099 0.00160935
475 0.9065 0.0017
480 0.906933 0.0022301
485 0.904833 0.00245832
490 0.904633 0.0028006
495 0.907333 0.00311341
500 0.908433 0.00260064
505 0.905567 0.00235867
510 0.9032 0.0021166
515 0.902467 0.00200333
520 0.9027 0.00200749
525 0.9027 0.00181934
530 0.902033 0.00115902
535 0.899433 0.00142945
540 0.897467 0.00144684
545 0.898833 0.00161658
550 0.900267 0.00120554
555 0.897833 0.00140119
560 0.896667 0.00295691
565 0.893133 0.00243379
570 0.891867 0.00224796
575 0.891133 0.00215019
580 0.8909 0.0017
585 0.8897 0.00183303
590 0.886233 0.00152753
595 0.884467 0.0022053
600 0.881533 0.00189297
