
Processing Draw_OneCookie.C(14,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie14_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 14, point 1 3, point 1
infile = ../dc764/transmittance_cookie14_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 14, point 2 3, point 2
infile = ../dc764/transmittance_cookie14_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 14, point 3 3, point 3
315 0.6888 0.00285832 0.7142 0.00611474
320 0.721767 0.00237978 0.7456 0.00576541
325 0.753433 0.00273191 0.775933 0.00356978
330 0.782667 0.00276104 0.8012 0.00292062
335 0.808833 0.00304357 0.827367 0.0024379
340 0.827667 0.00328836 0.847167 0.00225019
345 0.837133 0.00161967 0.855233 0.00176163
350 0.8428 0.0017088 0.8573 0.00160935
355 0.850167 0.00205994 0.862367 0.00133167
360 0.8559 0.0021 0.867267 0.00106927
365 0.855833 0.00196554 0.869133 0.00213854
370 0.856433 0.00155671 0.8705 0.00134536
375 0.869533 0.00168622 0.884 0.00158745
380 0.877533 0.00246644 0.888467 0.00171561
385 0.882333 0.00166233 0.8928 0.00135277
390 0.885667 0.00159478 0.896433 0.00255408
395 0.890367 0.00136137 0.9029 0.00275136
400 0.892133 0.00102144 0.904167 0.00320832
405 0.8917 0.00121655 0.903367 0.00300222
410 0.893867 0.00204042 0.904167 0.00215019
415 0.8957 0.00216564 0.9064 0.00200749
420 0.898533 0.00237557 0.9093 0.00212838
425 0.8984 0.00204206 0.909833 0.0016563
430 0.899667 0.00125831 0.907833 0.00110151
435 0.901167 0.00172143 0.9078 0.000556776
440 0.903533 0.00212211 0.9092 0.000264575
445 0.9036 0.00275136 0.9112 0.000458258
450 0.905933 0.00237978 0.916133 0.00136137
455 0.904233 0.00183394 0.911967 0.00137961
460 0.905733 0.00155027 0.913 0.00121244
465 0.907033 0.00145717 0.914867 0.000960902
470 0.908933 0.00142945 0.917833 0.00145717
475 0.9063 0.00135277 0.9159 0.00191572
480 0.9054 0.00141774 0.915333 0.00222336
485 0.905233 0.00051316 0.913767 0.0020232
490 0.904333 0.000907377 0.910467 0.00085049
495 0.906433 0.00165025 0.913767 0.00125033
500 0.907333 0.00245832 0.912733 0.0010504
505 0.904 0.00210713 0.9112 0.0011
510 0.903633 0.000971253 0.910733 0.000152753
515 0.904033 0.00161967 0.907467 0.000378594
520 0.902133 0.00173877 0.9085 0.0007
525 0.903267 0.00168622 0.9084 0.0002
530 0.900933 0.00161967 0.908433 0.000351188
535 0.8992 0.00170587 0.9082 0.00131149
540 0.8986 0.00117898 0.904033 0.000750555
545 0.8985 0.00145258 0.905267 0.000208167
550 0.899233 0.00120968 0.904967 0.00158219
555 0.8994 0.00127671 0.9042 0.00196723
560 0.898 0.00127671 0.903967 0.00170098
565 0.8949 0.001 0.901733 0.00228108
570 0.8942 0.0011 0.899733 0.00168622
575 0.892633 0.00127017 0.898867 0.00144338
580 0.892033 0.00162583 0.897167 0.00153731
585 0.8905 0.00200749 0.8935 0.00131149
590 0.887967 0.00155027 0.890567 0.00143643
595 0.886733 0.00136504 0.8898 0.00199249
600 0.884633 0.00109697 0.887733 0.00257358
