
Processing Draw_OneCookie.C(9,1)...
infile = ../dc764/transmittance_cookie9_1_10.txt
cookie 9, point 1
infile = ../dc764/transmittance_cookie9_1_20.txt
cookie 9, point 2
infile = ../dc764/transmittance_cookie9_1_30.txt
cookie 9, point 3
315 0.6834 0.00816639
320 0.718967 0.00776938
325 0.7486 0.00701926
330 0.778667 0.00547205
335 0.803833 0.00609289
340 0.822967 0.00667633
345 0.832533 0.00626445
350 0.835467 0.00659571
355 0.8408 0.00566657
360 0.847233 0.00484286
365 0.850367 0.00520032
370 0.8529 0.00481352
375 0.865033 0.00438216
380 0.8712 0.00441701
385 0.876567 0.00464579
390 0.882067 0.00504017
395 0.8888 0.0047085
400 0.890567 0.00415251
405 0.889467 0.00352751
410 0.8915 0.00337787
415 0.892767 0.00362261
420 0.896367 0.00368963
425 0.894867 0.00356417
430 0.897067 0.00313741
435 0.898533 0.00263122
440 0.8981 0.00295466
445 0.899833 0.00345012
450 0.904333 0.00295353
455 0.9027 0.0036756
460 0.9049 0.00288444
465 0.904767 0.0028006
470 0.905833 0.00235867
475 0.9061 0.00336006
480 0.9055 0.00266271
485 0.904867 0.00188237
490 0.903533 0.00155027
495 0.904933 0.00170392
500 0.905833 0.00250267
505 0.9034 0.00225167
510 0.902533 0.00172143
515 0.901767 0.00140119
520 0.901333 0.00168028
525 0.900333 0.00162583
530 0.899633 0.00224796
535 0.898933 0.00240278
540 0.898067 0.00197569
545 0.897433 0.0018037
550 0.898567 0.00235443
555 0.897033 0.00313422
560 0.897567 0.00221209
565 0.892 0.00285132
570 0.892633 0.00170392
575 0.891467 0.0016563
580 0.889933 0.00247857
585 0.889 0.0028
590 0.886967 0.00265393
595 0.886233 0.00175024
600 0.883733 0.00168028
