
Processing Draw_OneCookie.C(0,0,false)...
infile = ../dc764/transmittance_cookie0_0_10.txt
cookie 0, point 1
infile = ../dc764/transmittance_cookie0_0_20.txt
cookie 0, point 2
infile = ../dc764/transmittance_cookie0_0_30.txt
cookie 0, point 3
315 0.710267 0.003073
320 0.7397 0.0032078
325 0.7696 0.00405956
330 0.800033 0.00341955
335 0.824467 0.00345302
340 0.846833 0.00355293
345 0.853833 0.00389401
350 0.8562 0.00376431
355 0.8622 0.0039
360 0.867633 0.00442982
365 0.870167 0.00363639
370 0.8704 0.0030348
375 0.8808 0.0036428
380 0.887033 0.00367469
385 0.890767 0.00353459
390 0.895767 0.00328075
395 0.900667 0.0037581
400 0.899733 0.00372201
405 0.897833 0.00395517
410 0.8993 0.00363731
415 0.902767 0.00326548
420 0.905667 0.00253246
425 0.906233 0.003139
430 0.905267 0.00300888
435 0.905833 0.00299388
440 0.906767 0.00336056
445 0.909 0.00357911
450 0.913433 0.00358097
455 0.9103 0.00402865
460 0.911167 0.0043501
465 0.911733 0.00454569
470 0.9139 0.0038223
475 0.912667 0.00414769
480 0.911333 0.00340783
485 0.909433 0.00390683
490 0.907967 0.00368963
495 0.9103 0.00390512
500 0.911333 0.00384231
505 0.909167 0.00386825
510 0.907133 0.00345881
515 0.9057 0.00364966
520 0.905967 0.00421584
525 0.905667 0.00369639
530 0.904833 0.0035019
535 0.903667 0.00353883
540 0.9022 0.00353695
545 0.901233 0.00345302
550 0.9008 0.00311769
555 0.9013 0.00326956
560 0.9002 0.002498
565 0.896767 0.00285715
570 0.894733 0.00323471
575 0.8941 0.00381969
580 0.892933 0.00280238
585 0.892867 0.00332616
590 0.891033 0.00286764
595 0.8876 0.00226053
600 0.8864 0.00209523
