
Processing Draw_OneCookie.C(5,3)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie5_3_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 5, point 1 3, point 1
infile = ../dc764/transmittance_cookie5_3_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 5, point 2 3, point 2
infile = ../dc764/transmittance_cookie5_3_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 5, point 3 3, point 3
315 0.676233 0.0150324 0.7142 0.00611474
320 0.715767 0.0152271 0.7456 0.00576541
325 0.750067 0.0121072 0.775933 0.00356978
330 0.781467 0.0129311 0.8012 0.00292062
335 0.806867 0.0116518 0.827367 0.0024379
340 0.825067 0.0105382 0.847167 0.00225019
345 0.837567 0.00848842 0.855233 0.00176163
350 0.840867 0.00775973 0.8573 0.00160935
355 0.847667 0.00896456 0.862367 0.00133167
360 0.853367 0.00904728 0.867267 0.00106927
365 0.856233 0.00815925 0.869133 0.00213854
370 0.8607 0.00992421 0.8705 0.00134536
375 0.873633 0.0108487 0.884 0.00158745
380 0.8811 0.0101926 0.888467 0.00171561
385 0.885067 0.011491 0.8928 0.00135277
390 0.8908 0.0113767 0.896433 0.00255408
395 0.895633 0.0108099 0.9029 0.00275136
400 0.8935 0.0102679 0.904167 0.00320832
405 0.894933 0.0114518 0.903367 0.00300222
410 0.896867 0.0118627 0.904167 0.00215019
415 0.8992 0.0111862 0.9064 0.00200749
420 0.902667 0.0104242 0.9093 0.00212838
425 0.9015 0.0101371 0.909833 0.0016563
430 0.9024 0.011212 0.907833 0.00110151
435 0.904467 0.0122267 0.9078 0.000556776
440 0.904467 0.0114845 0.9092 0.000264575
445 0.906833 0.011415 0.9112 0.000458258
450 0.931633 0.0206568 0.916133 0.00136137
455 0.909133 0.0127336 0.911967 0.00137961
460 0.908267 0.0127222 0.913 0.00121244
465 0.908 0.0118697 0.914867 0.000960902
470 0.9047 0.0105418 0.917833 0.00145717
475 0.899933 0.0105358 0.9159 0.00191572
480 0.914267 0.0139163 0.915333 0.00222336
485 0.906333 0.0117364 0.913767 0.0020232
490 0.9122 0.0126961 0.910467 0.00085049
495 0.907933 0.0110654 0.913767 0.00125033
500 0.9101 0.0113697 0.912733 0.0010504
505 0.908 0.0112054 0.9112 0.0011
510 0.907833 0.0124917 0.910733 0.000152753
515 0.908033 0.0123856 0.907467 0.000378594
520 0.908167 0.0114984 0.9085 0.0007
525 0.907267 0.0117823 0.9084 0.0002
530 0.9068 0.0122609 0.908433 0.000351188
535 0.9062 0.012573 0.9082 0.00131149
540 0.905833 0.0120259 0.904033 0.000750555
545 0.905067 0.01145 0.905267 0.000208167
550 0.903767 0.0125005 0.904967 0.00158219
555 0.9026 0.0127953 0.9042 0.00196723
560 0.9033 0.0123016 0.903967 0.00170098
565 0.904067 0.0126358 0.901733 0.00228108
570 0.904633 0.0118879 0.899733 0.00168622
575 0.901867 0.0122132 0.898867 0.00144338
580 0.9001 0.012619 0.897167 0.00153731
585 0.899133 0.0128594 0.8935 0.00131149
590 0.8975 0.0125587 0.890567 0.00143643
595 0.894867 0.0124122 0.8898 0.00199249
600 0.8914 0.0121198 0.887733 0.00257358
