
Processing Draw_OneCookie.C(15,3)...
infile = ../dc764/transmittance_cookie15_3_10.txt
cookie 15, point 1
infile = ../dc764/transmittance_cookie15_3_20.txt
cookie 15, point 2
infile = ../dc764/transmittance_cookie15_3_30.txt
cookie 15, point 3
315 0.664467 0.0107286
320 0.701733 0.00928781
325 0.732133 0.0120093
330 0.7612 0.0101385
335 0.7867 0.00952943
340 0.809967 0.00971665
345 0.819867 0.0101791
350 0.8241 0.00973499
355 0.8307 0.00960833
360 0.835333 0.00963967
365 0.838767 0.00836919
370 0.8433 0.0078924
375 0.856 0.00818535
380 0.862733 0.00799521
385 0.865933 0.00784496
390 0.8707 0.00721942
395 0.8778 0.00703776
400 0.882033 0.00778867
405 0.8824 0.00776595
410 0.883 0.00805729
415 0.8836 0.0076922
420 0.886967 0.00695006
425 0.887867 0.00745274
430 0.889433 0.00695869
435 0.8896 0.00681102
440 0.889 0.00618789
445 0.890333 0.00556447
450 0.895467 0.00493187
455 0.893933 0.00525579
460 0.894233 0.0050856
465 0.8935 0.00512152
470 0.895033 0.00496521
475 0.8957 0.00508626
480 0.897133 0.0049521
485 0.8972 0.00600999
490 0.894633 0.00655769
495 0.895167 0.00629471
500 0.8961 0.00521632
505 0.892367 0.00455448
510 0.894633 0.00438786
515 0.8932 0.0044238
520 0.892533 0.00441173
525 0.890667 0.00395264
530 0.890567 0.00327465
535 0.890733 0.00315331
540 0.890233 0.00335609
545 0.889233 0.003139
550 0.888567 0.00379781
555 0.887733 0.00380044
560 0.887367 0.0040612
565 0.883267 0.00482321
570 0.882133 0.00522717
575 0.8825 0.00528299
580 0.880767 0.00569766
585 0.879967 0.0050362
590 0.8778 0.00575847
595 0.876267 0.00491359
600 0.873833 0.00518588
