
Processing Draw_OneCookie.C(16,2)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie16_2_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 16, point 1 3, point 1
infile = ../dc764/transmittance_cookie16_2_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 16, point 2 3, point 2
infile = ../dc764/transmittance_cookie16_2_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 16, point 3 3, point 3
315 0.685733 0.00187172 0.7142 0.00611474
320 0.721567 0.00155027 0.7456 0.00576541
325 0.7505 0.00134536 0.775933 0.00356978
330 0.7781 0.0032 0.8012 0.00292062
335 0.802667 0.00416213 0.827367 0.0024379
340 0.8242 0.0035 0.847167 0.00225019
345 0.834767 0.00332315 0.855233 0.00176163
350 0.838833 0.00302875 0.8573 0.00160935
355 0.846 0.00278388 0.862367 0.00133167
360 0.849133 0.00306649 0.867267 0.00106927
365 0.852233 0.0033546 0.869133 0.00213854
370 0.855 0.00262107 0.8705 0.00134536
375 0.868133 0.00232881 0.884 0.00158745
380 0.8767 0.00168226 0.888467 0.00171561
385 0.879467 0.00273008 0.8928 0.00135277
390 0.8824 0.00334215 0.896433 0.00255408
395 0.8883 0.00286182 0.9029 0.00275136
400 0.891767 0.00228546 0.904167 0.00320832
405 0.892667 0.00230072 0.903367 0.00300222
410 0.894333 0.00263122 0.904167 0.00215019
415 0.894067 0.00305341 0.9064 0.00200749
420 0.896267 0.00299555 0.9093 0.00212838
425 0.8972 0.00277849 0.909833 0.0016563
430 0.898967 0.00251462 0.907833 0.00110151
435 0.900433 0.00172434 0.9078 0.000556776
440 0.900267 0.00195533 0.9092 0.000264575
445 0.899567 0.00232451 0.9112 0.000458258
450 0.904767 0.00187705 0.916133 0.00136137
455 0.9023 0.0017088 0.911967 0.00137961
460 0.904933 0.000945163 0.913 0.00121244
465 0.905267 0.00155027 0.914867 0.000960902
470 0.907467 0.00145029 0.917833 0.00145717
475 0.904767 0.00117189 0.9159 0.00191572
480 0.904733 0.00144684 0.915333 0.00222336
485 0.9047 0.00149332 0.913767 0.0020232
490 0.9037 0.00165227 0.910467 0.00085049
495 0.9052 0.00272213 0.913767 0.00125033
500 0.904933 0.00309892 0.912733 0.0010504
505 0.900967 0.00283608 0.9112 0.0011
510 0.900133 0.00249065 0.910733 0.000152753
515 0.902167 0.00219393 0.907467 0.000378594
520 0.9018 0.0028931 0.9085 0.0007
525 0.9002 0.00381576 0.9084 0.0002
530 0.899533 0.00313422 0.908433 0.000351188
535 0.8994 0.00223383 0.9082 0.00131149
540 0.8994 0.00165227 0.904033 0.000750555
545 0.898633 0.00198578 0.905267 0.000208167
550 0.8991 0.00190788 0.904967 0.00158219
555 0.898767 0.00140119 0.9042 0.00196723
560 0.8983 0.00200749 0.903967 0.00170098
565 0.8945 0.00180278 0.901733 0.00228108
570 0.894567 0.00151767 0.899733 0.00168622
575 0.891967 0.00215484 0.898867 0.00144338
580 0.890667 0.00245832 0.897167 0.00153731
585 0.888967 0.00282902 0.8935 0.00131149
590 0.887567 0.00261024 0.890567 0.00143643
595 0.886833 0.00185562 0.8898 0.00199249
600 0.8855 0.00183303 0.887733 0.00257358
