
Processing Draw_OneCookie.C(7,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie7_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 7, point 1 3, point 1
infile = ../dc764/transmittance_cookie7_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 7, point 2 3, point 2
infile = ../dc764/transmittance_cookie7_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 7, point 3 3, point 3
315 0.656867 0.0141543 0.7142 0.00611474
320 0.693333 0.0151527 0.7456 0.00576541
325 0.7281 0.015199 0.775933 0.00356978
330 0.759167 0.0148689 0.8012 0.00292062
335 0.785867 0.0138944 0.827367 0.0024379
340 0.807767 0.0151533 0.847167 0.00225019
345 0.816933 0.0173394 0.855233 0.00176163
350 0.822533 0.0175221 0.8573 0.00160935
355 0.830833 0.0177001 0.862367 0.00133167
360 0.835933 0.0157722 0.867267 0.00106927
365 0.837133 0.015058 0.869133 0.00213854
370 0.840133 0.0153279 0.8705 0.00134536
375 0.854267 0.015709 0.884 0.00158745
380 0.863833 0.0161658 0.888467 0.00171561
385 0.867433 0.016142 0.8928 0.00135277
390 0.871167 0.0145569 0.896433 0.00255408
395 0.876 0.0147652 0.9029 0.00275136
400 0.878133 0.0146582 0.904167 0.00320832
405 0.880033 0.0153102 0.903367 0.00300222
410 0.8816 0.0149067 0.904167 0.00215019
415 0.8826 0.0138633 0.9064 0.00200749
420 0.885567 0.0131592 0.9093 0.00212838
425 0.885867 0.014093 0.909833 0.0016563
430 0.887533 0.0142781 0.907833 0.00110151
435 0.888933 0.0144742 0.9078 0.000556776
440 0.890433 0.0141154 0.9092 0.000264575
445 0.890467 0.01295 0.9112 0.000458258
450 0.8941 0.0125503 0.916133 0.00136137
455 0.894467 0.0133553 0.911967 0.00137961
460 0.897333 0.0133762 0.913 0.00121244
465 0.897267 0.0127257 0.914867 0.000960902
470 0.898467 0.0119718 0.917833 0.00145717
475 0.895667 0.0119718 0.9159 0.00191572
480 0.897867 0.0117517 0.915333 0.00222336
485 0.896733 0.0121517 0.913767 0.0020232
490 0.896633 0.0116023 0.910467 0.00085049
495 0.8966 0.0116207 0.913767 0.00125033
500 0.896367 0.0115001 0.912733 0.0010504
505 0.8943 0.0118317 0.9112 0.0011
510 0.894533 0.0120272 0.910733 0.000152753
515 0.894733 0.0124621 0.907467 0.000378594
520 0.894433 0.0112518 0.9085 0.0007
525 0.892467 0.0105614 0.9084 0.0002
530 0.8928 0.0113119 0.908433 0.000351188
535 0.892733 0.0106707 0.9082 0.00131149
540 0.891633 0.0107751 0.904033 0.000750555
545 0.8903 0.011049 0.905267 0.000208167
550 0.889433 0.00964434 0.904967 0.00158219
555 0.8897 0.00990606 0.9042 0.00196723
560 0.8879 0.0106353 0.903967 0.00170098
565 0.887867 0.0109258 0.901733 0.00228108
570 0.885367 0.010351 0.899733 0.00168622
575 0.8836 0.00870172 0.898867 0.00144338
580 0.881033 0.00923381 0.897167 0.00153731
585 0.8792 0.00988787 0.8935 0.00131149
590 0.878467 0.01006 0.890567 0.00143643
595 0.876633 0.00977667 0.8898 0.00199249
600 0.874267 0.00948701 0.887733 0.00257358
