
Processing Draw_OneCookie.C(5,3)...
infile = ../dc764/transmittance_cookie5_3_10.txt
cookie 5, point 1
infile = ../dc764/transmittance_cookie5_3_20.txt
cookie 5, point 2
infile = ../dc764/transmittance_cookie5_3_30.txt
cookie 5, point 3
315 0.676233 0.0150324
320 0.715767 0.0152271
325 0.750067 0.0121072
330 0.781467 0.0129311
335 0.806867 0.0116518
340 0.825067 0.0105382
345 0.837567 0.00848842
350 0.840867 0.00775973
355 0.847667 0.00896456
360 0.853367 0.00904728
365 0.856233 0.00815925
370 0.8607 0.00992421
375 0.873633 0.0108487
380 0.8811 0.0101926
385 0.885067 0.011491
390 0.8908 0.0113767
395 0.895633 0.0108099
400 0.8935 0.0102679
405 0.894933 0.0114518
410 0.896867 0.0118627
415 0.8992 0.0111862
420 0.902667 0.0104242
425 0.9015 0.0101371
430 0.9024 0.011212
435 0.904467 0.0122267
440 0.904467 0.0114845
445 0.906833 0.011415
450 0.931633 0.0206568
455 0.909133 0.0127336
460 0.908267 0.0127222
465 0.908 0.0118697
470 0.9047 0.0105418
475 0.899933 0.0105358
480 0.914267 0.0139163
485 0.906333 0.0117364
490 0.9122 0.0126961
495 0.907933 0.0110654
500 0.9101 0.0113697
505 0.908 0.0112054
510 0.907833 0.0124917
515 0.908033 0.0123856
520 0.908167 0.0114984
525 0.907267 0.0117823
530 0.9068 0.0122609
535 0.9062 0.012573
540 0.905833 0.0120259
545 0.905067 0.01145
550 0.903767 0.0125005
555 0.9026 0.0127953
560 0.9033 0.0123016
565 0.904067 0.0126358
570 0.904633 0.0118879
575 0.901867 0.0122132
580 0.9001 0.012619
585 0.899133 0.0128594
590 0.8975 0.0125587
595 0.894867 0.0124122
600 0.8914 0.0121198
