
Processing Draw_OneCookie.C(14,2)...
infile = ../dc764/transmittance_cookie14_2_10.txt
cookie 14, point 1
infile = ../dc764/transmittance_cookie14_2_20.txt
cookie 14, point 2
infile = ../dc764/transmittance_cookie14_2_30.txt
cookie 14, point 3
315 0.699333 0.00395769
320 0.730967 0.0010116
325 0.7617 0.000608276
330 0.7929 0.00173494
335 0.820233 0.00205264
340 0.8392 0.00157162
345 0.849633 0.00217792
350 0.8516 0.00323574
355 0.8571 0.00334515
360 0.863233 0.0035473
365 0.864967 0.00310859
370 0.8683 0.00290517
375 0.8792 0.0036428
380 0.884933 0.00391195
385 0.890067 0.00380175
390 0.894767 0.00351331
395 0.899433 0.00359073
400 0.8996 0.0033
405 0.898233 0.00380832
410 0.9006 0.00377492
415 0.9013 0.00380395
420 0.903867 0.00375011
425 0.902433 0.00403774
430 0.9017 0.00459674
435 0.901267 0.00508068
440 0.903967 0.00520801
445 0.905 0.00461303
450 0.910367 0.00472476
455 0.907867 0.00430155
460 0.9088 0.00528299
465 0.9093 0.00547449
470 0.911933 0.00472899
475 0.909733 0.00345302
480 0.909067 0.00395264
485 0.906933 0.00437302
490 0.9039 0.00417612
495 0.9057 0.00482183
500 0.907833 0.00461122
505 0.905 0.003995
510 0.903233 0.00457857
515 0.901467 0.00466083
520 0.901167 0.0042336
525 0.900133 0.00378594
530 0.901033 0.00358515
535 0.901267 0.00337244
540 0.900267 0.0038553
545 0.8971 0.00424382
550 0.897133 0.00377403
555 0.896433 0.0035949
560 0.896633 0.00371663
565 0.893767 0.00376076
570 0.892267 0.00419563
575 0.8905 0.00449333
580 0.889933 0.00400791
585 0.887967 0.00393107
590 0.886433 0.00393107
595 0.884367 0.00402534
600 0.8804 0.00433474
