
Processing Draw_OneCookie.C(13,1)...
infile = ../dc764/transmittance_cookie13_1_10.txt
cookie 13, point 1
infile = ../dc764/transmittance_cookie13_1_20.txt
cookie 13, point 2
infile = ../dc764/transmittance_cookie13_1_30.txt
cookie 13, point 3
315 0.694967 0.00743326
320 0.723967 0.00384751
325 0.756333 0.00536874
330 0.788467 0.00560922
335 0.8156 0.00538145
340 0.835533 0.00354448
345 0.845067 0.00299388
350 0.847867 0.0042004
355 0.853267 0.00441173
360 0.860733 0.00395517
365 0.863233 0.00291433
370 0.863767 0.00254231
375 0.873967 0.00284488
380 0.8822 0.00255343
385 0.887067 0.00320832
390 0.891067 0.00210079
395 0.895667 0.0015695
400 0.895433 0.00210792
405 0.895367 0.00275379
410 0.8981 0.00212838
415 0.900233 0.00172434
420 0.903233 0.00113725
425 0.903033 0.000929157
430 0.9028 0.00202978
435 0.9037 0.00276225
440 0.904133 0.00281839
445 0.905 0.0028
450 0.909633 0.00217792
455 0.907367 0.00222336
460 0.908067 0.00323161
465 0.908533 0.003188
470 0.911233 0.00240069
475 0.909433 0.00249466
480 0.9094 0.00234307
485 0.906933 0.00280416
490 0.906133 0.00225462
495 0.907933 0.00196044
500 0.909533 0.00140119
505 0.906767 0.00125033
510 0.905133 0.00170392
515 0.904033 0.00228108
520 0.904267 0.00310054
525 0.903567 0.00238607
530 0.9034 0.00180831
535 0.901 0.00210713
540 0.8998 0.00209523
545 0.8997 0.00196723
550 0.8989 0.0018735
555 0.898567 0.00210792
560 0.8989 0.0019
565 0.8954 0.00230651
570 0.893967 0.00215019
575 0.8932 0.0020664
580 0.892533 0.00206478
585 0.891333 0.00217332
590 0.889567 0.00159478
595 0.888933 0.00254231
600 0.886233 0.00231805
