
Processing Draw_OneCookie.C(8,1)...
infile = ../dc764/transmittance_cookie8_1_10.txt
cookie 8, point 1
infile = ../dc764/transmittance_cookie8_1_20.txt
cookie 8, point 2
infile = ../dc764/transmittance_cookie8_1_30.txt
cookie 8, point 3
315 0.7008 0.000984886
320 0.726667 0.00155027
325 0.7598 0.00287924
330 0.787967 0.00242143
335 0.814833 0.00105987
340 0.833033 0.00197315
345 0.843233 0.00176163
350 0.8464 0.0031
355 0.852833 0.00270617
360 0.857867 0.00218251
365 0.860033 0.0015308
370 0.864133 0.00125831
375 0.876733 0.00221435
380 0.883 0.00308058
385 0.887533 0.00245425
390 0.892867 0.00172143
395 0.898033 0.0016773
400 0.898333 0.00260064
405 0.898933 0.00273008
410 0.9007 0.00208806
415 0.902733 0.00132035
420 0.906133 0.00051316
425 0.905533 0.00100167
430 0.906133 0.00174738
435 0.906633 0.00165025
440 0.9078 0.00157162
445 0.908167 0.000971253
450 0.911933 0.00085049
455 0.910867 0.00172434
460 0.911133 0.0022745
465 0.912867 0.00185831
470 0.913333 0.00109697
475 0.9109 0.00138564
480 0.911133 0.00174738
485 0.910067 0.00239653
490 0.909367 0.00217332
495 0.9108 0.00166433
500 0.911433 0.00122202
505 0.9091 0.001249
510 0.9077 0.00150997
515 0.907067 0.00175024
520 0.906567 0.00173877
525 0.906 0.00131149
530 0.906167 0.00130512
535 0.904633 0.00161658
540 0.904167 0.00147422
545 0.9044 0.0013
550 0.901967 0.00113725
555 0.901033 0.00080829
560 0.9017 0.00105357
565 0.899233 0.00130128
570 0.8989 0.00131149
575 0.8976 0.001
580 0.895767 0.000503322
585 0.8952 0.0007
590 0.8905 0.00043589
595 0.888533 0.000503322
600 0.889433 0.00051316
