
Processing Draw_OneCookie.C(2,false)...
infile = ../dc764/transmittance_cookier_2_10.txt
infile = ../dc764/transmittance_cookier_2_20.txt
infile = ../dc764/transmittance_cookier_2_30.txt
315 0.643867 0.00664028
320 0.681033 0.00828573
325 0.7217 0.00561516
330 0.754067 0.00594082
335 0.777733 0.00578389
340 0.815433 0.00587055
345 0.829067 0.00444335
350 0.834433 0.00424421
355 0.8422 0.00485386
360 0.845 0.0056205
365 0.8467 0.00570351
370 0.852467 0.00565184
375 0.865533 0.0052176
380 0.873733 0.00415251
385 0.877833 0.00529937
390 0.8818 0.00610246
395 0.8882 0.00536749
400 0.8911 0.00389744
405 0.8908 0.00410731
410 0.8915 0.00389358
415 0.892067 0.00453578
420 0.895367 0.00432936
425 0.8968 0.00348281
430 0.8976 0.00366606
435 0.897667 0.00351331
440 0.896933 0.00442869
445 0.898133 0.00416453
450 0.9032 0.0037027
455 0.902633 0.00309892
460 0.904067 0.00347755
465 0.904133 0.00359073
470 0.906467 0.00403774
475 0.905833 0.00326241
480 0.9063 0.00322335
485 0.905633 0.00328075
490 0.903167 0.00325781
495 0.904833 0.00369639
500 0.9054 0.00360971
505 0.902833 0.00335012
510 0.902633 0.00284488
515 0.901633 0.00231589
520 0.900367 0.00328684
525 0.9 0.00296142
530 0.899867 0.00260064
535 0.900233 0.00247049
540 0.899467 0.00250067
545 0.8983 0.00293087
550 0.898533 0.00287112
555 0.8989 0.00255147
560 0.897133 0.00222336
565 0.893633 0.00249065
570 0.893067 0.00273008
575 0.8924 0.00310966
580 0.890167 0.00273008
585 0.887967 0.00245832
590 0.887267 0.0022942
595 0.884933 0.00247857
600 0.884133 0.00264071
