
Processing Draw_OneCookie.C(1,0,false)...
infile = ../dc764/transmittance_cookie1_0_10.txt
cookie 1, point 1
infile = ../dc764/transmittance_cookie1_0_20.txt
cookie 1, point 2
infile = ../dc764/transmittance_cookie1_0_30.txt
cookie 1, point 3
315 0.6941 0.00304467
320 0.6951 0.0256345
325 0.689367 0.00468757
330 0.744967 0.0228861
335 0.8001 0.00910165
340 0.795633 0.0311193
345 0.7724 0.0230411
350 0.7919 0.0175214
355 0.8273 0.0367305
360 0.8275 0.010018
365 0.804933 0.0386958
370 0.798633 0.0299407
375 0.8259 0.0141989
380 0.8508 0.0425254
385 0.8422 0.0242693
390 0.827167 0.0184752
395 0.828067 0.0399538
400 0.844967 0.0224852
405 0.8657 0.0142944
410 0.868567 0.0361926
415 0.8488 0.0277
420 0.831033 0.00665157
425 0.8281 0.0228598
430 0.844567 0.0275395
435 0.867667 0.0146456
440 0.8816 0.0109343
445 0.876433 0.022643
450 0.8591 0.0251334
455 0.833167 0.0179781
460 0.826367 0.00909139
465 0.836067 0.0132832
470 0.859267 0.0189964
475 0.8808 0.0171403
480 0.892267 0.00695725
485 0.885167 0.0131059
490 0.864133 0.0248737
495 0.840567 0.0251337
500 0.8235 0.0140268
505 0.819467 0.00217332
510 0.829167 0.0171185
515 0.847933 0.0266453
520 0.865967 0.025393
525 0.878033 0.0122696
530 0.8802 0.00856096
535 0.8719 0.0272164
540 0.856867 0.0365126
545 0.8394 0.0350809
550 0.8275 0.0220116
555 0.819067 0.00325781
560 0.818067 0.0184218
565 0.8235 0.0347435
570 0.834 0.0414443
575 0.843333 0.037996
580 0.851067 0.023749
585 0.854433 0.0119006
590 0.8547 0.0252929
595 0.850633 0.040991
600 0.8424 0.0468714
